paretosat-msh-nobne,paretosat-msh
5400.0,5400.0
0.0,0.0
0.02,0.03
5400.0,5400.0
12.11,12.879999999999999
597.4300000000001,595.81
5400.0,5400.0
1199.78,1400.53
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
4.79,5.11
0.24,0.24
647.0500000000001,625.4200000000001
5400.0,5400.0
5400.0,5400.0
1.93,1.9
1.3800000000000001,1.51
5400.0,5400.0
1062.34,1095.66
152.46,160.77
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
302.81,297.33000000000004
5400.0,5400.0
5400.0,5400.0
183.69,181.84
5.7299999999999995,5.529999999999999
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
2.1599999999999997,2.0
32.54,34.449999999999996
11.06,11.7
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.88,0.88
0.01,0.01
5400.0,5400.0
70.19,74.39999999999999
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.06999999999999999,0.06
0.01,0.01
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.9,0.96
0.77,0.8
3.78,7.66
5400.0,5400.0
0.0,0.0
5400.0,5400.0
1.29,1.3
5400.0,5400.0
5400.0,5400.0
0.79,0.77
5400.0,5400.0
2.59,6.24
0.02,0.01
61.47,57.57
71.44,65.69
5400.0,5400.0
2.51,2.53
0.07,0.06
281.98,319.53000000000003
0.09,0.09
5400.0,5400.0
1.41,1.36
5400.0,5400.0
1554.88,1774.44
1612.3899999999999,1709.95
1.21,1.22
5400.0,5400.0
5400.0,5400.0
3.96,3.58
5400.0,5400.0
5400.0,5400.0
785.0699999999999,787.9200000000001
3315.47,3573.45
43.43,40.779999999999994
259.64,268.91
5400.0,5400.0
0.24000000000000002,0.24000000000000002
9.639999999999999,8.809999999999999
5400.0,5400.0
0.02,0.02
5400.0,5400.0
0.85,0.86
5400.0,5400.0
0.03,0.03
4.39,4.41
22.540000000000003,23.810000000000002
1.24,1.3
0.0,0.0
0.03,0.04
224.26000000000002,212.91
354.77000000000004,358.33
5400.0,5400.0
0.07,0.08
5400.0,5400.0
0.43,0.39
5400.0,5400.0
5400.0,5400.0
205.14000000000001,202.09
0.87,0.83
5400.0,5400.0
5400.0,5400.0
0.01,0.01
0.07,0.07
0.37,0.36
51.25,43.86
0.0,0.0
5400.0,5400.0
9.469999999999999,22.86
5400.0,5400.0
0.04,0.03
225.71,261.78999999999996
32.13,36.699999999999996
3.5799999999999996,3.4499999999999997
0.67,0.68
4.76,4.819999999999999
5400.0,5400.0
0.02,0.02
15.14,14.59
309.89,304.15999999999997
5400.0,5400.0
0.0,0.0
5400.0,5400.0
6.05,5.89
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1.24,1.24
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
4.47,4.05
1.45,2.0399999999999996
5400.0,5400.0
46.33,46.120000000000005
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
28.939999999999998,29.25
2.47,2.37
4.8,4.829999999999999
5400.0,5400.0
188.19000000000003,179.51
5400.0,5400.0
243.15,256.21000000000004
23.88,24.32
2900.89,3355.18
5400.0,5400.0
0.01,0.0
0.17,0.16
0.02,0.03
3.2899999999999996,3.32
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
24.98,24.13
2.9899999999999998,3.3099999999999996
5400.0,5400.0
12.74,12.23
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
2030.7,2118.76
5400.0,5400.0
0.67,0.3
3.3699999999999997,3.54
2.56,2.48
0.62,0.63
5400.0,5400.0
5400.0,5400.0
0.92,1.02
5400.0,5400.0
23.05,23.560000000000002
0.0,0.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.01,0.01
75.11,75.03999999999999
0.04,0.03
45.089999999999996,46.63
5400.0,5400.0
41.14,43.949999999999996
32.669999999999995,32.459999999999994
5400.0,5400.0
5400.0,5400.0
0.02,0.02
0.0,0.0
5400.0,5400.0
5.81,5.4799999999999995
0.34,0.33
0.34,0.34
0.33,0.33
1464.65,1510.1799999999998
0.01,0.01
5400.0,5400.0
0.22,0.22
0.01,0.01
0.0,0.0
195.3,207.23
0.02,0.02
5400.0,5400.0
5400.0,5400.0
8.629999999999999,8.76
5400.0,5400.0
10.44,11.01
0.12,0.12
21.26,20.770000000000003
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
2.14,2.11
0.22,0.25
6.619999999999999,6.359999999999999
5400.0,5400.0
5400.0,5400.0
0.3,0.31
5400.0,5400.0
0.060000000000000005,0.05
0.06999999999999999,0.06
0.09999999999999999,0.09
5400.0,5400.0
0.53,0.51
5400.0,5400.0
15.9,14.31
322.47,366.54
0.01,0.01
0.0,0.0
2976.54,2635.45
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.7,0.72
5400.0,5400.0
5400.0,5400.0
0.03,0.03
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1566.2,1478.12
476.07,475.02
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
9.9,9.95
2459.5800000000004,2398.1000000000004
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.0,0.01
3.09,3.6199999999999997
0.06,0.06
5400.0,5400.0
5400.0,5400.0
8.07,9.35
5400.0,5400.0
5400.0,5400.0
1.01,1.0
5400.0,5400.0
0.01,0.01
0.32,0.29000000000000004
10.069999999999999,11.78
29.63,28.5
2.36,2.34
0.31,0.31
0.19,0.16
41.07,15.77
5400.0,5400.0
5400.0,5400.0
2096.47,2140.7000000000003
0.01,0.01
0.8,0.8
5400.0,5400.0
0.5,0.51
5400.0,5400.0
23.05,22.27
5400.0,5400.0
5400.0,5400.0
2.0199999999999996,1.84
1.06,1.04
5.89,5.8999999999999995
1.39,1.39
12.84,12.65
5400.0,5400.0
8.629999999999999,8.889999999999999
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
89.14999999999999,71.33999999999999
474.12,524.4399999999999
32.99,33.78
5400.0,5400.0
0.01,0.0
5400.0,5400.0
412.69,412.51000000000005
0.06,0.06
5400.0,5400.0
5400.0,5400.0
27.330000000000002,27.15
1812.47,1468.79
1.11,1.19
5400.0,5400.0
3.73,3.7
14.93,15.26
5400.0,5400.0
3.3699999999999997,3.17
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.01,0.01
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.15000000000000002,0.15000000000000002
0.14,0.14
0.12,0.12
0.02,0.02
0.04,0.04
0.06,0.07
0.04,0.03
0.27,0.27
27.779999999999998,29.36
155.89,162.18
0.8200000000000001,0.8300000000000001
0.12,0.12
336.92,356.0
5400.0,5400.0
1274.98,1296.56
0.01,0.01
5028.97,4881.23
0.47000000000000003,0.46
12.969999999999999,14.18
1931.31,1824.7099999999998
1.3,1.3
5400.0,5400.0
5400.0,5400.0
0.06999999999999999,0.06
5400.0,5400.0
11.54,9.83
0.01,0.01
0.31,0.31
5400.0,5400.0
2.63,2.4
0.06,0.06
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
91.17999999999999,90.22
530.15,550.9300000000001
5400.0,5400.0
5400.0,5400.0
1.39,1.12
0.01,0.01
0.89,0.87
